Series_Title,Released_Year,Certificate,Runtime,Genre,IMDB_Rating,No_of_Votes
Kaguyahime no monogatari,2013,U,137 min,"Animation, Adventure, Drama",8,38746
Wonder,2017,U,113 min,"Drama, Family",8,141923
Gully Boy,2019,UA,154 min,"Drama, Music, Romance",8,31886
Special Chabbis,2013,UA,144 min,"Crime, Drama, Thriller",8,51069
Short Term 12,2013,R,96 min,Drama,8,81770
Serbuan maut 2: Berandal,2014,A,150 min,"Action, Crime, Thriller",8,114316
The Imitation Game,2014,UA,114 min,"Biography, Drama, Thriller",8,685201
Guardians of the Galaxy,2014,UA,121 min,"Action, Adventure, Comedy",8,1043455
Blade Runner 2049,2017,UA,164 min,"Action, Drama, Mystery",8,461823
Her,2013,A,126 min,"Drama, Romance, Sci-Fi",8,540772
Bohemian Rhapsody,2018,UA,134 min,"Biography, Drama, Music",8,450349
The Revenant,2015,A,156 min,"Action, Adventure, Drama",8,705589
The Perks of Being a Wallflower,2012,UA,103 min,"Drama, Romance",8,462252
Tropa de Elite 2: O Inimigo Agora é Outro,2010,,115 min,"Action, Crime, Drama",8,79200
The King's Speech,2010,U,118 min,"Biography, Drama, History",8,639603
The Help,2011,UA,146 min,Drama,8,428521
Deadpool,2016,R,108 min,"Action, Adventure, Comedy",8,902669
Darbareye Elly,2009,TV-PG,119 min,"Drama, Mystery",8,45803
Dev.D,2009,A,144 min,"Drama, Romance",8,28749
Yip Man,2008,R,106 min,"Action, Biography, Drama",8,211427
My Name Is Khan,2010,UA,165 min,Drama,8,98575
Nefes: Vatan Sagolsun,2009,,128 min,"Action, Drama, Thriller",8,31838
Slumdog Millionaire,2008,UA,120 min,"Drama, Romance",8,798882
Black Swan,2010,A,108 min,"Drama, Thriller",8,699673
Tropa de Elite,2007,R,115 min,"Action, Crime, Drama",8,98097
The Avengers,2012,UA,143 min,"Action, Adventure, Sci-Fi",8,1260806
Persepolis,2007,PG-13,96 min,"Animation, Biography, Drama",8,88656
Dallas Buyers Club,2013,R,117 min,"Biography, Drama",8,441614
The Pursuit of Happyness,2006,U,117 min,"Biography, Drama",8,448930
Blood Diamond,2006,A,143 min,"Adventure, Drama, Thriller",8,499439
The Bourne Ultimatum,2007,UA,115 min,"Action, Mystery, Thriller",8,604694
Bin-jip,2004,U,88 min,"Crime, Drama, Romance",8,50610
Sin City,2005,A,124 min,"Crime, Thriller",8,738512
Le scaphandre et le papillon,2007,PG-13,112 min,"Biography, Drama",8,103284
G.O.R.A.,2004,,127 min,"Adventure, Comedy, Sci-Fi",8,56960
Ratatouille,2007,U,111 min,"Animation, Adventure, Comedy",8,641645
Casino Royale,2006,PG-13,144 min,"Action, Adventure, Thriller",8,582239
Kill Bill: Vol. 2,2004,A,137 min,"Action, Crime, Thriller",8,683900
Vozvrashchenie,2003,,110 min,Drama,8,42399
Bom Yeoareum Gaeul Gyeoul Geurigo Bom,2003,R,103 min,"Drama, Romance",8,77520
Mar adentro,2014,U,126 min,"Biography, Drama",8,77554
Cinderella Man,2005,UA,144 min,"Biography, Drama, History",8,176151
Kal Ho Naa Ho,2003,U,186 min,"Comedy, Drama, Musical",8,63460
Mou gaan dou,2002,UA,101 min,"Action, Crime, Drama",8,117857
Pirates of the Caribbean: The Curse of the Black Pearl,2003,UA,143 min,"Action, Adventure, Fantasy",8,1015122
Big Fish,2003,U,125 min,"Adventure, Drama, Fantasy",8,415218
The Incredibles,2004,U,115 min,"Animation, Action, Adventure",8,657047
Yeopgijeogin geunyeo,2001,,137 min,"Comedy, Drama, Romance",8,45403
Dogville,2003,R,178 min,"Crime, Drama",8,137963
Vizontele,2001,,110 min,"Comedy, Drama",8,33592
Donnie Darko,2001,R,113 min,"Drama, Mystery, Sci-Fi",8,740086
Magnolia,1999,R,188 min,Drama,8,289742
Dancer in the Dark,2000,U,140 min,"Crime, Drama, Musical",8,102285
The Straight Story,1999,U,112 min,"Biography, Drama",8,82002
Pâfekuto burû,1997,A,81 min,"Animation, Crime, Mystery",8,58192
Festen,1998,R,105 min,Drama,8,78341
Central do Brasil,1998,R,110 min,Drama,8,36419
The Iron Giant,1999,PG,86 min,"Animation, Action, Adventure",8,172083
Knockin' on Heaven's Door,1997,,87 min,"Action, Crime, Comedy",8,27721
Sling Blade,1996,R,135 min,Drama,8,86838
Secrets & Lies,1996,U,136 min,"Comedy, Drama",8,37564
Twelve Monkeys,1995,A,129 min,"Mystery, Sci-Fi, Thriller",8,578443
Kôkaku Kidôtai,1995,UA,83 min,"Animation, Action, Crime",8,129231
The Nightmare Before Christmas,1993,U,76 min,"Animation, Family, Fantasy",8,300208
Groundhog Day,1993,U,101 min,"Comedy, Fantasy, Romance",8,577991
Bound by Honor,1993,R,180 min,"Crime, Drama",8,28825
Scent of a Woman,1992,UA,156 min,Drama,8,263918
Aladdin,1992,U,90 min,"Animation, Adventure, Comedy",8,373845
JFK,1991,UA,189 min,"Drama, History, Thriller",8,142110
Beauty and the Beast,1991,G,84 min,"Animation, Family, Fantasy",8,417178
Dances with Wolves,1990,U,181 min,"Adventure, Drama, Western",8,240266
Do the Right Thing,1989,R,120 min,"Comedy, Drama",8,89429
Rain Man,1988,U,133 min,Drama,8,473064
Akira,1988,UA,124 min,"Animation, Action, Sci-Fi",8,164918
The Princess Bride,1987,U,98 min,"Adventure, Family, Fantasy",8,393899
Der Himmel über Berlin,1987,U,128 min,"Drama, Fantasy, Romance",8,64722
Au revoir les enfants,1987,U,104 min,"Drama, War",8,31163
Tenkû no shiro Rapyuta,1986,U,125 min,"Animation, Adventure, Drama",8,150140
The Terminator,1984,UA,107 min,"Action, Sci-Fi",8,799795
Gandhi,1982,U,191 min,"Biography, Drama, History",8,217664
Kagemusha,1980,U,180 min,"Drama, History, War",8,32195
Being There,1979,PG,130 min,"Comedy, Drama",8,65625
Annie Hall,1977,A,93 min,"Comedy, Romance",8,251823
Jaws,1975,A,124 min,"Adventure, Thriller",8,543388
Dog Day Afternoon,1975,U,125 min,"Biography, Crime, Drama",8,235652
Young Frankenstein,1974,A,106 min,Comedy,8,143359
Papillon,1973,R,151 min,"Biography, Crime, Drama",8,121627
The Exorcist,1973,A,122 min,Horror,8,362393
Sleuth,1972,PG,138 min,"Mystery, Thriller",8,44748
The Last Picture Show,1971,R,118 min,"Drama, Romance",8,42456
Fiddler on the Roof,1971,G,181 min,"Drama, Family, Musical",8,39491
Il conformista,1970,UA,113 min,Drama,8,27067
Butch Cassidy and the Sundance Kid,1969,PG,110 min,"Biography, Crime, Drama",8,201888
Rosemary's Baby,1968,A,137 min,"Drama, Horror",8,193674
Planet of the Apes,1968,U,112 min,"Adventure, Sci-Fi",8,165167
The Graduate,1967,A,106 min,"Comedy, Drama, Romance",8,253676
Who's Afraid of Virginia Woolf?,1966,A,131 min,Drama,8,68926
The Sound of Music,1965,U,172 min,"Biography, Drama, Family",8,205425
Doctor Zhivago,1965,A,197 min,"Drama, Romance, War",8,69903
Per un pugno di dollari,1964,A,99 min,"Action, Drama, Western",8,198219
8½,1963,,138 min,Drama,8,108844
Vivre sa vie: Film en douze tableaux,1962,,80 min,Drama,8,28057
The Hustler,1961,A,134 min,"Drama, Sport",8,75067
La dolce vita,1960,A,174 min,"Comedy, Drama",8,66621
Rio Bravo,1959,Passed,141 min,"Action, Drama, Western",8,56305
Anatomy of a Murder,1959,,161 min,"Crime, Drama, Mystery",8,59847
Touch of Evil,1958,PG-13,95 min,"Crime, Drama, Film-Noir",8,98431
Cat on a Hot Tin Roof,1958,A,108 min,Drama,8,45062
Sweet Smell of Success,1957,Approved,96 min,"Drama, Film-Noir",8,28137
The Killing,1956,Approved,84 min,"Crime, Drama, Film-Noir",8,81702
The Night of the Hunter,1955,,92 min,"Crime, Drama, Film-Noir",8,81980
La Strada,1954,,108 min,Drama,8,58314
Les diaboliques,1955,,117 min,"Crime, Drama, Horror",8,61503
Stalag 17,1953,,120 min,"Comedy, Drama, War",8,51046
Roman Holiday,1953,,118 min,"Comedy, Romance",8,127256
A Streetcar Named Desire,1951,A,122 min,Drama,8,99182
In a Lonely Place,1950,,94 min,"Drama, Film-Noir, Mystery",8,26784
Kind Hearts and Coronets,1949,U,106 min,"Comedy, Crime",8,34485
Rope,1948,A,80 min,"Crime, Drama, Mystery",8,129783
Out of the Past,1947,,97 min,"Crime, Drama, Film-Noir",8,32784
Brief Encounter,1945,U,86 min,"Drama, Romance",8,35601
Laura,1944,Passed,88 min,"Drama, Film-Noir, Mystery",8,42725
The Best Years of Our Lives,1946,Approved,170 min,"Drama, Romance, War",8,57259
Arsenic and Old Lace,1942,,118 min,"Comedy, Crime, Thriller",8,65101
The Maltese Falcon,1941,,100 min,"Film-Noir, Mystery",8,148928
The Grapes of Wrath,1940,Passed,129 min,"Drama, History",8,85559
The Wizard of Oz,1939,U,102 min,"Adventure, Family, Fantasy",8,371379
La règle du jeu,1939,,110 min,"Comedy, Drama",8,26725
The Thin Man,1934,TV-PG,91 min,"Comedy, Crime, Mystery",8,26642
All Quiet on the Western Front,1930,U,152 min,"Drama, War",8,57318
Bronenosets Potemkin,1925,,75 min,"Drama, History, Thriller",8,53054
Knives Out,2019,UA,130 min,"Comedy, Crime, Drama",7.9,454203
Dil Bechara,2020,UA,101 min,"Comedy, Drama, Romance",7.9,111478
Manbiki kazoku,2018,A,121 min,"Crime, Drama",7.9,62754
Marriage Story,2019,U,137 min,"Comedy, Drama, Romance",7.9,246644
Call Me by Your Name,2017,UA,132 min,"Drama, Romance",7.9,212651
"I, Daniel Blake",2016,UA,100 min,Drama,7.9,53818
Isle of Dogs,2018,U,101 min,"Animation, Adventure, Comedy",7.9,139114
Hunt for the Wilderpeople,2016,UA,101 min,"Adventure, Comedy, Drama",7.9,111483
Captain Fantastic,2016,R,118 min,"Comedy, Drama",7.9,189400
Sing Street,2016,PG-13,106 min,"Comedy, Drama, Music",7.9,85109
Thor: Ragnarok,2017,UA,130 min,"Action, Adventure, Comedy",7.9,587775
Nightcrawler,2014,A,117 min,"Crime, Drama, Thriller",7.9,466134
Jojo Rabbit,2019,UA,108 min,"Comedy, Drama, War",7.9,297918
Arrival,2016,UA,116 min,"Drama, Sci-Fi",7.9,594181
Star Wars: Episode VII - The Force Awakens,2015,U,138 min,"Action, Adventure, Sci-Fi",7.9,860823
Before Midnight,2013,R,109 min,"Drama, Romance",7.9,141457
X-Men: Days of Future Past,2014,UA,132 min,"Action, Adventure, Sci-Fi",7.9,659763
Bir Zamanlar Anadolu'da,2011,,157 min,"Crime, Drama",7.9,41995
The Artist,2011,U,100 min,"Comedy, Drama, Romance",7.9,230624
Edge of Tomorrow,2014,UA,113 min,"Action, Adventure, Sci-Fi",7.9,600004
Amour,2012,UA,127 min,"Drama, Romance",7.9,93090
The Irishman,2019,R,209 min,"Biography, Crime, Drama",7.9,324720
Un prophète,2009,A,155 min,"Crime, Drama",7.9,93560
Moon,2009,R,97 min,"Drama, Mystery, Sci-Fi",7.9,335152
Låt den rätte komma in,2008,R,114 min,"Crime, Drama, Fantasy",7.9,205609
District 9,2009,A,112 min,"Action, Sci-Fi, Thriller",7.9,638202
The Wrestler,2008,UA,109 min,"Drama, Sport",7.9,289415
Jab We Met,2007,U,138 min,"Comedy, Drama, Romance",7.9,47720
Boyhood,2014,A,165 min,Drama,7.9,335533
"4 luni, 3 saptamâni si 2 zile",2007,,113 min,Drama,7.9,56625
Star Trek,2009,UA,127 min,"Action, Adventure, Sci-Fi",7.9,577336
In Bruges,2008,R,107 min,"Comedy, Crime, Drama",7.9,390334
The Man from Earth,2007,,87 min,"Drama, Fantasy, Mystery",7.9,174125
Letters from Iwo Jima,2006,UA,141 min,"Action, Adventure, Drama",7.9,154011
The Fall,2006,R,117 min,"Adventure, Drama, Fantasy",7.9,107290
Life of Pi,2012,U,127 min,"Adventure, Drama, Fantasy",7.9,580708
Fantastic Mr. Fox,2009,PG,87 min,"Animation, Adventure, Comedy",7.9,199696
C.R.A.Z.Y.,2005,,129 min,"Comedy, Drama",7.9,31476
Les choristes,2004,PG-13,97 min,"Drama, Music",7.9,57430
Iron Man,2008,UA,126 min,"Action, Adventure, Sci-Fi",7.9,939644
Shaun of the Dead,2004,UA,99 min,"Comedy, Horror",7.9,512249
Gegen die Wand,2004,R,121 min,"Drama, Romance",7.9,51325
Mystic River,2003,A,138 min,"Crime, Drama, Mystery",7.9,419420
Harry Potter and the Prisoner of Azkaban,2004,U,142 min,"Adventure, Family, Fantasy",7.9,552493
Ying xiong,2002,PG-13,120 min,"Action, Adventure, History",7.9,173999
Hable con ella,2002,R,112 min,"Drama, Mystery, Romance",7.9,104691
No Man's Land,2001,R,98 min,"Comedy, Drama, War",7.9,44618
Cowboy Bebop: Tengoku no tobira,2001,U,115 min,"Animation, Action, Crime",7.9,42897
The Bourne Identity,2002,UA,119 min,"Action, Mystery, Thriller",7.9,508771
Nueve reinas,2000,R,114 min,"Crime, Drama, Thriller",7.9,49721
Children of Men,2006,A,109 min,"Adventure, Drama, Sci-Fi",7.9,465113
Almost Famous,2000,A,122 min,"Adventure, Comedy, Drama",7.9,252586
Mulholland Dr.,2001,R,147 min,"Drama, Mystery, Thriller",7.9,322031
Toy Story 2,1999,U,92 min,"Animation, Adventure, Comedy",7.9,527512
Boogie Nights,1997,R,155 min,Drama,7.9,239473
Mimi wo sumaseba,1995,U,111 min,"Animation, Drama, Family",7.9,51943
Once Were Warriors,1994,A,102 min,"Crime, Drama",7.9,31590
True Romance,1993,R,119 min,"Crime, Drama, Romance",7.9,206918
Trois couleurs: Bleu,1993,U,94 min,"Drama, Music, Mystery",7.9,89836
Jûbê ninpûchô,1993,A,94 min,"Animation, Action, Adventure",7.9,34529
Carlito's Way,1993,A,144 min,"Crime, Drama, Thriller",7.9,201000
Edward Scissorhands,1990,U,105 min,"Drama, Fantasy, Romance",7.9,447368
My Left Foot: The Story of Christy Brown,1989,U,103 min,"Biography, Drama",7.9,68076
Crimes and Misdemeanors,1989,PG-13,104 min,"Comedy, Drama",7.9,54670
The Untouchables,1987,A,119 min,"Crime, Drama, Thriller",7.9,281842
Hannah and Her Sisters,1986,PG-13,107 min,"Comedy, Drama",7.9,67176
Brazil,1985,U,132 min,"Drama, Sci-Fi",7.9,187567
This Is Spinal Tap,1984,R,82 min,"Comedy, Music",7.9,128812
A Christmas Story,1983,U,93 min,"Comedy, Family",7.9,132947
The Blues Brothers,1980,U,133 min,"Action, Adventure, Comedy",7.9,183182
Manhattan,1979,R,96 min,"Comedy, Drama, Romance",7.9,131436
All That Jazz,1979,A,123 min,"Drama, Music, Musical",7.9,28223
Dawn of the Dead,1978,A,127 min,"Action, Adventure, Horror",7.9,111512
All the President's Men,1976,U,138 min,"Biography, Drama, History",7.9,103031
La montaña sagrada,1973,R,114 min,"Adventure, Drama, Fantasy",7.9,37183
Amarcord,1973,R,123 min,"Comedy, Drama, Family",7.9,39897
Le charme discret de la bourgeoisie,1972,PG,102 min,Comedy,7.9,38737
"Aguirre, der Zorn Gottes",1972,,95 min,"Action, Adventure, Biography",7.9,52397
Harold and Maude,1971,PG,91 min,"Comedy, Drama, Romance",7.9,70826
Patton,1970,U,172 min,"Biography, Drama, War",7.9,93741
The Wild Bunch,1969,A,145 min,"Action, Adventure, Western",7.9,77401
Night of the Living Dead,1968,,96 min,"Horror, Thriller",7.9,116557
The Lion in Winter,1968,PG,134 min,"Biography, Drama, History",7.9,29003
In the Heat of the Night,1967,U,110 min,"Crime, Drama, Mystery",7.9,67804
Charade,1963,U,113 min,"Comedy, Mystery, Romance",7.9,68689
The Manchurian Candidate,1962,PG-13,126 min,"Drama, Thriller",7.9,71122
Spartacus,1960,A,197 min,"Adventure, Biography, Drama",7.9,124339
L'avventura,1960,U,144 min,"Drama, Mystery",7.9,26542
Hiroshima mon amour,1959,,90 min,"Drama, Romance",7.9,28421
The Ten Commandments,1956,U,220 min,"Adventure, Drama",7.9,63560
The Searchers,1956,Passed,119 min,"Adventure, Drama, Western",7.9,80316
East of Eden,1955,U,118 min,Drama,7.9,40313
High Noon,1952,PG,85 min,"Drama, Thriller, Western",7.9,97222
Strangers on a Train,1951,A,101 min,"Crime, Film-Noir, Thriller",7.9,123341
Harvey,1950,Approved,104 min,"Comedy, Drama, Fantasy",7.9,52573
Miracle on 34th Street,1947,,96 min,"Comedy, Drama, Family",7.9,41625
Notorious,1946,U,102 min,"Drama, Film-Noir, Romance",7.9,92306
The Big Sleep,1946,Passed,114 min,"Crime, Film-Noir, Mystery",7.9,78796
The Lost Weekend,1945,Passed,101 min,"Drama, Film-Noir",7.9,33549
The Philadelphia Story,1940,,112 min,"Comedy, Romance",7.9,63550
His Girl Friday,1940,Passed,92 min,"Comedy, Drama, Romance",7.9,53667
The Adventures of Robin Hood,1938,PG,102 min,"Action, Adventure, Romance",7.9,47175
A Night at the Opera,1935,Passed,96 min,"Comedy, Music, Musical",7.9,30580
King Kong,1933,Passed,100 min,"Adventure, Horror, Sci-Fi",7.9,78991
Freaks,1932,,64 min,"Drama, Horror",7.9,42117
Nosferatu,1922,,94 min,"Fantasy, Horror",7.9,88794
The Gentlemen,2019,A,113 min,"Action, Comedy, Crime",7.8,237392
Raazi,2018,UA,138 min,"Action, Drama, Thriller",7.8,25344
Sound of Metal,2019,R,120 min,"Drama, Music",7.8,27187
Forushande,2016,UA,124 min,Drama,7.8,51240
Dunkirk,2017,UA,106 min,"Action, Drama, History",7.8,555092
Perfetti sconosciuti,2016,,96 min,"Comedy, Drama",7.8,57168
Hidden Figures,2016,UA,127 min,"Biography, Drama, History",7.8,200876
Paddington 2,2017,U,103 min,"Adventure, Comedy, Family",7.8,61594
Udta Punjab,2016,A,148 min,"Action, Crime, Drama",7.8,27175
Kubo and the Two Strings,2016,PG,101 min,"Animation, Action, Adventure",7.8,118035
M.S. Dhoni: The Untold Story,2016,U,184 min,"Biography, Drama, Sport",7.8,40416
Manchester by the Sea,2016,UA,137 min,Drama,7.8,246963
Under sandet,2015,R,100 min,"Drama, History, War",7.8,35539
Rogue One,2016,UA,133 min,"Action, Adventure, Sci-Fi",7.8,556608
Captain America: Civil War,2016,UA,147 min,"Action, Adventure, Sci-Fi",7.8,663649
The Hateful Eight,2015,A,168 min,"Crime, Drama, Mystery",7.8,517059
Little Women,2019,U,135 min,"Drama, Romance",7.8,143250
Loving Vincent,2017,UA,94 min,"Animation, Biography, Crime",7.8,50778
Pride,2014,R,119 min,"Biography, Comedy, Drama",7.8,51841
Le passé,2013,PG-13,130 min,"Drama, Mystery",7.8,45002
La grande bellezza,2013,,141 min,Drama,7.8,81125
The Lunchbox,2013,U,104 min,"Drama, Romance",7.8,50523
Vicky Donor,2012,UA,126 min,"Comedy, Romance",7.8,39710
Big Hero 6,2014,U,102 min,"Animation, Action, Adventure",7.8,410983
About Time,2013,R,123 min,"Comedy, Drama, Fantasy",7.8,303032
English Vinglish,2012,U,134 min,"Comedy, Drama, Family",7.8,33618
Kaze tachinu,2013,PG-13,126 min,"Animation, Biography, Drama",7.8,73690
Toy Story 4,2019,U,100 min,"Animation, Adventure, Comedy",7.8,203177
La migliore offerta,2013,R,131 min,"Crime, Drama, Mystery",7.8,108399
Moonrise Kingdom,2012,A,94 min,"Comedy, Drama, Romance",7.8,318789
How to Train Your Dragon 2,2014,U,102 min,"Animation, Action, Adventure",7.8,305611
The Big Short,2015,A,130 min,"Biography, Comedy, Drama",7.8,362942
Kokuhaku,2010,,106 min,"Drama, Thriller",7.8,35713
Ang-ma-reul bo-at-da,2010,,144 min,"Action, Crime, Drama",7.8,111252
The Girl with the Dragon Tattoo,2011,R,158 min,"Crime, Drama, Mystery",7.8,423010
Captain Phillips,2013,UA,134 min,"Adventure, Biography, Crime",7.8,421244
Ajeossi,2010,R,119 min,"Action, Crime, Drama",7.8,62848
Straight Outta Compton,2015,R,147 min,"Biography, Drama, History",7.8,179264
Madeo,2009,R,129 min,"Crime, Drama, Mystery",7.8,52758
Chugyeokja,2008,,125 min,"Action, Crime, Thriller",7.8,58468
The Hobbit: The Desolation of Smaug,2013,UA,161 min,"Adventure, Fantasy",7.8,601408
Das weiße Band - Eine deutsche Kindergeschichte,2009,UA,144 min,"Drama, History, Mystery",7.8,68715
Män som hatar kvinnor,2009,R,152 min,"Crime, Drama, Mystery",7.8,208994
The Trial of the Chicago 7,2020,R,129 min,"Drama, History, Thriller",7.8,89896
Druk,2020,,117 min,"Comedy, Drama",7.8,33931
The Fighter,2010,UA,116 min,"Biography, Drama, Sport",7.8,340584
Taken,2008,A,90 min,"Action, Thriller",7.8,564791
The Boy in the Striped Pyjamas,2008,PG-13,94 min,"Drama, History, War",7.8,190748
Once,2007,R,86 min,"Drama, Music, Romance",7.8,110656
The Hobbit: An Unexpected Journey,2012,UA,169 min,"Adventure, Fantasy",7.8,757377
Auf der anderen Seite,2007,,122 min,Drama,7.8,30827
Atonement,2007,R,123 min,"Drama, Mystery, Romance",7.8,251370
Drive,2011,A,100 min,"Crime, Drama",7.8,571571
American Gangster,2007,A,157 min,"Biography, Crime, Drama",7.8,392449
Avatar,2009,UA,162 min,"Action, Adventure, Fantasy",7.8,1118998
Mr. Nobody,2009,R,141 min,"Drama, Fantasy, Romance",7.8,216421
Apocalypto,2006,A,139 min,"Action, Adventure, Drama",7.8,291018
Little Miss Sunshine,2006,UA,101 min,"Comedy, Drama",7.8,439856
Hot Fuzz,2007,UA,121 min,"Action, Comedy, Mystery",7.8,463466
The Curious Case of Benjamin Button,2008,UA,166 min,"Drama, Fantasy, Romance",7.8,589160
Veer-Zaara,2004,U,192 min,"Drama, Family, Musical",7.8,49050
Adams æbler,2005,R,94 min,"Comedy, Crime, Drama",7.8,45717
Pride & Prejudice,2005,PG,129 min,"Drama, Romance",7.8,258924
The World's Fastest Indian,2005,U,127 min,"Biography, Drama, Sport",7.8,51980
Tôkyô goddofâzâzu,2003,UA,90 min,"Animation, Adventure, Comedy",7.8,31658
Serenity,2005,PG-13,119 min,"Action, Adventure, Sci-Fi",7.8,283310
Walk the Line,2005,PG-13,136 min,"Biography, Drama, Music",7.8,234207
Ondskan,2003,,113 min,Drama,7.8,35682
The Notebook,2004,A,123 min,"Drama, Romance",7.8,520284
Diarios de motocicleta,2004,U,126 min,"Adventure, Biography, Drama",7.8,96703
Lilja 4-ever,2002,R,109 min,"Crime, Drama",7.8,42673
Les triplettes de Belleville,2003,PG-13,80 min,"Animation, Comedy, Drama",7.8,50622
Gongdong gyeongbi guyeok JSA,2000,,110 min,"Action, Drama, Thriller",7.8,26518
The Count of Monte Cristo,2002,PG-13,131 min,"Action, Adventure, Drama",7.8,129022
Waking Life,2001,R,99 min,"Animation, Drama, Fantasy",7.8,60684
Remember the Titans,2000,U,113 min,"Biography, Drama, Sport",7.8,198089
Wo hu cang long,2000,UA,120 min,"Action, Adventure, Fantasy",7.8,253228
Todo sobre mi madre,1999,R,101 min,Drama,7.8,89058
Cast Away,2000,UA,143 min,"Adventure, Drama, Romance",7.8,524235
The Boondock Saints,1999,R,108 min,"Action, Crime, Thriller",7.8,227143
The Insider,1999,UA,157 min,"Biography, Drama, Thriller",7.8,159886
October Sky,1999,PG,108 min,"Biography, Drama, Family",7.8,82855
Shrek,2001,U,90 min,"Animation, Adventure, Comedy",7.8,613941
Titanic,1997,UA,194 min,"Drama, Romance",7.8,1046089
Hana-bi,1997,,103 min,"Crime, Drama, Romance",7.8,27712
Gattaca,1997,UA,106 min,"Drama, Sci-Fi, Thriller",7.8,280845
The Game,1997,UA,129 min,"Action, Drama, Mystery",7.8,345096
Breaking the Waves,1996,R,159 min,Drama,7.8,62428
Ed Wood,1994,U,127 min,"Biography, Comedy, Drama",7.8,164937
What's Eating Gilbert Grape,1993,U,118 min,Drama,7.8,215034
Tombstone,1993,R,130 min,"Action, Biography, Drama",7.8,126871
The Sandlot,1993,U,101 min,"Comedy, Drama, Family",7.8,78963
The Remains of the Day,1993,U,134 min,"Drama, Romance",7.8,66065
Naked,1993,,132 min,"Comedy, Drama",7.8,34635
The Fugitive,1993,U,130 min,"Action, Crime, Drama",7.8,267684
A Bronx Tale,1993,R,121 min,"Crime, Drama, Romance",7.8,128171
Batman: Mask of the Phantasm,1993,PG,76 min,"Animation, Action, Crime",7.8,43690
Lat sau san taam,1992,R,128 min,"Action, Crime, Thriller",7.8,46700
