Series_Title,Released_Year,Certificate,Runtime,Genre,IMDB_Rating,No_of_Votes
Night on Earth,1991,R,129 min,"Comedy, Drama",7.8,55362
La double vie de Véronique,1991,R,98 min,"Drama, Fantasy, Music",7.8,42376
Boyz n the Hood,1991,A,112 min,"Crime, Drama",7.8,126082
Misery,1990,R,107 min,"Drama, Thriller",7.8,184740
Awakenings,1990,U,121 min,"Biography, Drama",7.8,125276
Majo no takkyûbin,1989,U,103 min,"Animation, Adventure, Drama",7.8,124193
Glory,1989,R,122 min,"Biography, Drama, History",7.8,122779
Dip huet seung hung,1989,R,111 min,"Action, Crime, Drama",7.8,45624
Back to the Future Part II,1989,U,108 min,"Adventure, Comedy, Sci-Fi",7.8,481918
Mississippi Burning,1988,A,128 min,"Crime, Drama, History",7.8,88214
Predator,1987,A,107 min,"Action, Adventure, Sci-Fi",7.8,371387
Evil Dead II,1987,A,84 min,"Action, Comedy, Fantasy",7.8,148359
Ferris Bueller's Day Off,1986,U,103 min,Comedy,7.8,321382
Down by Law,1986,R,107 min,"Comedy, Crime, Drama",7.8,47834
The Goonies,1985,U,114 min,"Adventure, Comedy, Family",7.8,244430
The Color Purple,1985,U,154 min,Drama,7.8,78321
The Breakfast Club,1985,UA,97 min,"Comedy, Drama",7.8,357026
The Killing Fields,1984,UA,141 min,"Biography, Drama, History",7.8,51585
Ghostbusters,1984,UA,105 min,"Action, Comedy, Fantasy",7.8,355413
The Right Stuff,1983,PG,193 min,"Adventure, Biography, Drama",7.8,56235
The King of Comedy,1982,U,109 min,"Comedy, Crime, Drama",7.8,88511
E.T. the Extra-Terrestrial,1982,U,115 min,"Family, Sci-Fi",7.8,372490
Kramer vs. Kramer,1979,A,105 min,Drama,7.8,133351
Days of Heaven,1978,PG,94 min,"Drama, Romance",7.8,52852
The Outlaw Josey Wales,1976,A,135 min,Western,7.8,65659
The Man Who Would Be King,1975,PG,129 min,"Adventure, History, War",7.8,44917
The Conversation,1974,U,113 min,"Drama, Mystery, Thriller",7.8,98611
La planète sauvage,1973,U,72 min,"Animation, Sci-Fi",7.8,25229
The Day of the Jackal,1973,A,143 min,"Crime, Drama, Thriller",7.8,37445
Badlands,1973,PG,94 min,"Action, Crime, Drama",7.8,66009
Cabaret,1972,A,124 min,"Drama, Music, Musical",7.8,48334
Willy Wonka & the Chocolate Factory,1971,U,100 min,"Family, Fantasy, Musical",7.8,178731
Midnight Cowboy,1969,A,113 min,Drama,7.8,101124
Wait Until Dark,1967,,108 min,Thriller,7.8,27733
Guess Who's Coming to Dinner,1967,,108 min,"Comedy, Drama",7.8,39642
Bonnie and Clyde,1967,A,111 min,"Action, Biography, Crime",7.8,102415
My Fair Lady,1964,U,170 min,"Drama, Family, Musical",7.8,86525
Mary Poppins,1964,U,139 min,"Comedy, Family, Fantasy",7.8,158029
The Longest Day,1962,G,178 min,"Action, Drama, History",7.8,52141
Jules et Jim,1962,,105 min,"Drama, Romance",7.8,37605
The Innocents,1961,A,100 min,Horror,7.8,27007
À bout de souffle,1960,U,90 min,"Crime, Drama",7.8,73251
Red River,1948,Passed,133 min,"Action, Adventure, Drama",7.8,28167
Key Largo,1948,,100 min,"Action, Crime, Drama",7.8,36995
To Have and Have Not,1944,PG,100 min,"Adventure, Comedy, Film-Noir",7.8,31053
Shadow of a Doubt,1943,PG,108 min,"Film-Noir, Thriller",7.8,59556
Stagecoach,1939,Passed,96 min,"Adventure, Drama, Western",7.8,43621
The Lady Vanishes,1938,,96 min,"Mystery, Thriller",7.8,47400
Bringing Up Baby,1938,Passed,102 min,"Comedy, Family, Romance",7.8,55163
Bride of Frankenstein,1935,,75 min,"Drama, Horror, Sci-Fi",7.8,43542
Duck Soup,1933,,69 min,"Comedy, Musical, War",7.8,55581
Scarface: The Shame of the Nation,1932,PG,93 min,"Action, Crime, Drama",7.8,25312
Frankenstein,1931,Passed,70 min,"Drama, Horror, Sci-Fi",7.8,65341
Roma,2018,R,135 min,Drama,7.7,140375
God's Own Country,2017,,104 min,"Drama, Romance",7.7,25198
Deadpool 2,2018,R,119 min,"Action, Adventure, Comedy",7.7,478586
Wind River,2017,R,107 min,"Crime, Drama, Mystery",7.7,205444
Get Out,2017,R,104 min,"Horror, Mystery, Thriller",7.7,492851
Mission: Impossible - Fallout,2018,UA,147 min,"Action, Adventure, Thriller",7.7,291257
En man som heter Ove,2015,PG-13,116 min,"Comedy, Drama, Romance",7.7,47444
What We Do in the Shadows,2014,R,86 min,"Comedy, Horror",7.7,157498
Omoide no Mânî,2014,U,103 min,"Animation, Drama, Family",7.7,32798
The Theory of Everything,2014,U,123 min,"Biography, Drama, Romance",7.7,404182
Kingsman: The Secret Service,2014,A,129 min,"Action, Adventure, Comedy",7.7,590440
The Fault in Our Stars,2014,UA,126 min,"Drama, Romance",7.7,344312
Me and Earl and the Dying Girl,2015,PG-13,105 min,"Comedy, Drama",7.7,123210
Birdman or (The Unexpected Virtue of Ignorance),2014,A,119 min,"Comedy, Drama",7.7,580291
La vie d'Adèle,2013,A,180 min,"Drama, Romance",7.7,138741
Kai po che!,2013,U,130 min,"Drama, Sport",7.7,32628
The Broken Circle Breakdown,2012,,111 min,"Drama, Music, Romance",7.7,39379
Captain America: The Winter Soldier,2014,UA,136 min,"Action, Adventure, Sci-Fi",7.7,736182
Rockstar,2011,UA,159 min,"Drama, Music, Musical",7.7,39501
Nebraska,2013,UA,115 min,"Adventure, Comedy, Drama",7.7,112298
Wreck-It Ralph,2012,U,101 min,"Animation, Adventure, Comedy",7.7,380195
Le Petit Prince,2015,PG,108 min,"Animation, Adventure, Drama",7.7,56720
Detachment,2011,,98 min,Drama,7.7,77071
Midnight in Paris,2011,PG-13,96 min,"Comedy, Fantasy, Romance",7.7,388089
The Lego Movie,2014,U,100 min,"Animation, Action, Adventure",7.7,323982
Gravity,2013,UA,91 min,"Drama, Sci-Fi, Thriller",7.7,769145
Star Trek Into Darkness,2013,UA,132 min,"Action, Adventure, Sci-Fi",7.7,463188
Beasts of No Nation,2015,,137 min,"Drama, War",7.7,73964
The Social Network,2010,UA,120 min,"Biography, Drama",7.7,624982
X: First Class,2011,UA,131 min,"Action, Adventure, Sci-Fi",7.7,645512
The Hangover,2009,UA,100 min,Comedy,7.7,717559
Skyfall,2012,UA,143 min,"Action, Adventure, Thriller",7.7,630614
Silver Linings Playbook,2012,A,122 min,"Comedy, Drama, Romance",7.7,661871
Argo,2012,A,120 min,"Biography, Drama, Thriller",7.7,572581
(500) Days of Summer,2009,UA,95 min,"Comedy, Drama, Romance",7.7,472242
Harry Potter and the Deathly Hallows: Part 1,2010,A,146 min,"Adventure, Family, Fantasy",7.7,479120
Gake no ue no Ponyo,2008,U,101 min,"Animation, Adventure, Comedy",7.7,125317
Frost/Nixon,2008,R,122 min,"Biography, Drama, History",7.7,103330
Papurika,2006,U,90 min,"Animation, Drama, Fantasy",7.7,71379
Changeling,2008,R,141 min,"Biography, Crime, Drama",7.7,239203
Flipped,2010,PG,90 min,"Comedy, Drama, Romance",7.7,81446
Toki o kakeru shôjo,2006,U,98 min,"Animation, Adventure, Comedy",7.7,60368
Death Note: Desu nôto,2006,,126 min,"Crime, Drama, Fantasy",7.7,28630
This Is England,2006,,101 min,"Crime, Drama",7.7,115576
Ex Machina,2014,UA,108 min,"Drama, Sci-Fi, Thriller",7.7,474141
Efter brylluppet,2006,R,120 min,Drama,7.7,32001
The Last King of Scotland,2006,R,123 min,"Biography, Drama, History",7.7,175355
Zodiac,2007,UA,157 min,"Crime, Drama, Mystery",7.7,466080
Lucky Number Slevin,2006,R,110 min,"Action, Crime, Drama",7.7,299524
Joyeux Noël,2005,PG-13,116 min,"Drama, History, Music",7.7,28003
Control,2007,R,122 min,"Biography, Drama, Music",7.7,61609
Tangled,2010,U,100 min,"Animation, Adventure, Comedy",7.7,405922
Zwartboek,2006,R,145 min,"Drama, Thriller, War",7.7,72643
Brokeback Mountain,2005,A,134 min,"Drama, Romance",7.7,323103
3:10 to Yuma,2007,A,122 min,"Action, Crime, Drama",7.7,288797
Crash,2004,UA,112 min,"Crime, Drama, Thriller",7.7,419483
Kung fu,2004,UA,99 min,"Action, Comedy, Fantasy",7.7,127250
The Bourne Supremacy,2004,A,108 min,"Action, Mystery, Thriller",7.7,434841
The Machinist,2004,R,101 min,"Drama, Thriller",7.7,358432
Ray,2004,A,152 min,"Biography, Drama, Music",7.7,138356
Lost in Translation,2003,UA,102 min,"Comedy, Drama",7.7,415074
Harry Potter and the Goblet of Fire,2005,UA,157 min,"Adventure, Family, Fantasy",7.7,548619
Man on Fire,2004,UA,146 min,"Action, Crime, Drama",7.7,329592
Coraline,2009,U,100 min,"Animation, Drama, Family",7.7,197761
The Last Samurai,2003,UA,154 min,"Action, Drama",7.7,400049
The Magdalene Sisters,2002,R,114 min,Drama,7.7,25938
Good Bye Lenin!,2003,R,121 min,"Comedy, Drama, Romance",7.7,137981
In America,2002,PG-13,105 min,Drama,7.7,40403
I Am Sam,2001,PG-13,132 min,Drama,7.7,142863
Adaptation.,2002,R,115 min,"Comedy, Drama",7.7,178565
Black Hawk Down,2001,A,144 min,"Drama, History, War",7.7,364254
Road to Perdition,2002,A,117 min,"Crime, Drama, Thriller",7.7,246840
Das Experiment,2001,R,120 min,"Drama, Thriller",7.7,90842
Billy Elliot,2000,R,110 min,"Drama, Music",7.7,126770
Hedwig and the Angry Inch,2001,R,95 min,"Comedy, Drama, Music",7.7,31957
Ocean's Eleven,2001,UA,116 min,"Crime, Thriller",7.7,516372
Vampire Hunter D: Bloodlust,2000,U,103 min,"Animation, Action, Fantasy",7.7,29210
"O Brother, Where Art Thou?",2000,U,107 min,"Adventure, Comedy, Crime",7.7,286742
Interstate 60: Episodes of the Road,2002,R,116 min,"Adventure, Comedy, Drama",7.7,29999
"South Park: Bigger, Longer & Uncut",1999,A,81 min,"Animation, Comedy, Fantasy",7.7,192112
Office Space,1999,R,89 min,Comedy,7.7,241575
Happiness,1998,,134 min,"Comedy, Drama",7.7,66408
Training Day,2001,A,122 min,"Crime, Drama, Thriller",7.7,390247
Rushmore,1998,UA,93 min,"Comedy, Drama, Romance",7.7,169229
Abre los ojos,1997,U,119 min,"Drama, Mystery, Sci-Fi",7.7,64082
Being John Malkovich,1999,R,113 min,"Comedy, Drama, Fantasy",7.7,312542
As Good as It Gets,1997,A,139 min,"Comedy, Drama, Romance",7.7,275755
The Fifth Element,1997,UA,126 min,"Action, Adventure, Sci-Fi",7.7,434125
Le dîner de cons,1998,PG-13,80 min,Comedy,7.7,37424
Donnie Brasco,1997,A,127 min,"Biography, Crime, Drama",7.7,279318
Shine,1996,U,105 min,"Biography, Drama, Music",7.7,51350
Primal Fear,1996,A,129 min,"Crime, Drama, Mystery",7.7,189716
Hamlet,1996,PG-13,242 min,Drama,7.7,35991
A Little Princess,1995,U,97 min,"Drama, Family, Fantasy",7.7,32236
Do lok tin si,1995,UA,99 min,"Comedy, Crime, Drama",7.7,26429
Il postino,1994,U,108 min,"Biography, Comedy, Drama",7.7,33600
Clerks,1994,R,92 min,Comedy,7.7,211450
Short Cuts,1993,R,188 min,"Comedy, Drama",7.7,42275
Philadelphia,1993,UA,125 min,Drama,7.7,224169
The Muppet Christmas Carol,1992,G,85 min,"Comedy, Drama, Family",7.7,50298
Malcolm X,1992,U,202 min,"Biography, Drama, History",7.7,85819
The Last of the Mohicans,1992,UA,112 min,"Action, Adventure, Drama",7.7,150409
Kurenai no buta,1992,U,94 min,"Animation, Adventure, Comedy",7.7,77798
Glengarry Glen Ross,1992,R,100 min,"Crime, Drama, Mystery",7.7,95826
A Few Good Men,1992,U,138 min,"Drama, Thriller",7.7,235388
Fried Green Tomatoes,1991,PG-13,130 min,Drama,7.7,66941
Barton Fink,1991,U,116 min,"Comedy, Drama, Thriller",7.7,113240
Miller's Crossing,1990,R,115 min,"Crime, Drama, Thriller",7.7,125822
Who Framed Roger Rabbit,1988,U,104 min,"Animation, Adventure, Comedy",7.7,182009
Spoorloos,1988,,107 min,"Mystery, Thriller",7.7,33982
Withnail & I,1987,R,107 min,"Comedy, Drama",7.7,40396
The Last Emperor,1987,U,163 min,"Biography, Drama, History",7.7,94326
Empire of the Sun,1987,U,153 min,"Action, Drama, History",7.7,115677
Der Name der Rose,1986,R,130 min,"Crime, Drama, Mystery",7.7,102031
Blue Velvet,1986,A,120 min,"Drama, Mystery, Thriller",7.7,181285
The Purple Rose of Cairo,1985,U,82 min,"Comedy, Fantasy, Romance",7.7,47102
After Hours,1985,UA,97 min,"Comedy, Crime, Drama",7.7,59635
Zelig,1983,PG,79 min,Comedy,7.7,39881
The Verdict,1982,U,129 min,Drama,7.7,36096
Star Trek II: The Wrath of Khan,1982,U,113 min,"Action, Adventure, Sci-Fi",7.7,112704
First Blood,1982,A,93 min,"Action, Adventure",7.7,226541
Ordinary People,1980,U,124 min,Drama,7.7,47099
Airplane!,1980,U,88 min,Comedy,7.7,214882
Rupan sansei: Kariosutoro no shiro,1979,U,100 min,"Animation, Adventure, Family",7.7,27014
Halloween,1978,A,91 min,"Horror, Thriller",7.7,233106
Le locataire,1976,R,126 min,"Drama, Thriller",7.7,39889
Love and Death,1975,PG,85 min,"Comedy, War",7.7,36037
The Taking of Pelham One Two Three,1974,U,104 min,"Action, Crime, Thriller",7.7,26729
Blazing Saddles,1974,A,93 min,"Comedy, Western",7.7,125993
Serpico,1973,A,130 min,"Biography, Crime, Drama",7.7,109941
Enter the Dragon,1973,A,102 min,"Action, Crime, Drama",7.7,96561
Deliverance,1972,U,109 min,"Adventure, Drama, Thriller",7.7,98740
The French Connection,1971,A,104 min,"Action, Crime, Drama",7.7,110075
Dirty Harry,1971,A,102 min,"Action, Crime, Thriller",7.7,143292
Where Eagles Dare,1968,U,158 min,"Action, Adventure, War",7.7,51913
The Odd Couple,1968,G,105 min,Comedy,7.7,31572
The Dirty Dozen,1967,,150 min,"Action, Adventure, War",7.7,67183
Belle de jour,1967,A,100 min,"Drama, Romance",7.7,40274
A Man for All Seasons,1966,U,120 min,"Biography, Drama, History",7.7,31222
Repulsion,1965,,105 min,"Drama, Horror, Thriller",7.7,48883
Zulu,1964,U,138 min,"Drama, History, War",7.7,35999
Goldfinger,1964,A,110 min,"Action, Adventure, Thriller",7.7,174119
The Birds,1963,A,119 min,"Drama, Horror, Mystery",7.7,171739
Cape Fear,1962,Passed,106 min,"Drama, Thriller",7.7,26457
Peeping Tom,1960,,101 min,"Drama, Horror, Thriller",7.7,31354
The Magnificent Seven,1960,Approved,128 min,"Action, Adventure, Western",7.7,87719
Les yeux sans visage,1960,,90 min,"Drama, Horror",7.7,27620
Invasion of the Body Snatchers,1956,Approved,80 min,"Drama, Horror, Sci-Fi",7.7,44839
Rebel Without a Cause,1955,PG-13,111 min,Drama,7.7,83363
The Ladykillers,1955,,91 min,"Comedy, Crime",7.7,26464
Sabrina,1954,Passed,113 min,"Comedy, Drama, Romance",7.7,59415
The Quiet Man,1952,Passed,129 min,"Comedy, Drama, Romance",7.7,34677
The Day the Earth Stood Still,1951,U,92 min,"Drama, Sci-Fi",7.7,76315
The African Queen,1951,PG,105 min,"Adventure, Drama, Romance",7.7,71481
Gilda,1946,Approved,110 min,"Drama, Film-Noir, Romance",7.7,27991
Fantasia,1940,G,125 min,"Animation, Family, Fantasy",7.7,88662
The Invisible Man,1933,TV-PG,71 min,"Horror, Sci-Fi",7.7,30683
Dark Waters,2019,PG-13,126 min,"Biography, Drama, History",7.6,60408
Searching,2018,U/A,102 min,"Drama, Mystery, Thriller",7.6,140840
Once Upon a Time... in Hollywood,2019,A,161 min,"Comedy, Drama",7.6,551309
Nelyubov,2017,R,127 min,Drama,7.6,29765
The Florida Project,2017,A,111 min,Drama,7.6,95181
Just Mercy,2019,A,137 min,"Biography, Crime, Drama",7.6,46739
Gifted,2017,PG-13,101 min,Drama,7.6,99643
The Peanut Butter Falcon,2019,PG-13,97 min,"Adventure, Comedy, Drama",7.6,66346
Victoria,2015,,138 min,"Crime, Drama, Romance",7.6,52903
Mustang,2015,PG-13,97 min,Drama,7.6,35785
Guardians of the Galaxy Vol. 2,2017,UA,136 min,"Action, Adventure, Comedy",7.6,569974
Baby Driver,2017,UA,113 min,"Action, Crime, Drama",7.6,439406
Only the Brave,2017,UA,134 min,"Action, Biography, Drama",7.6,58371
Bridge of Spies,2015,UA,142 min,"Drama, History, Thriller",7.6,287659
Incredibles 2,2018,UA,118 min,"Animation, Action, Adventure",7.6,250057
Moana,2016,U,107 min,"Animation, Adventure, Comedy",7.6,272784
Sicario,2015,A,121 min,"Action, Crime, Drama",7.6,371291
Creed,2015,A,133 min,"Drama, Sport",7.6,247666
Leviafan,2014,R,140 min,"Crime, Drama",7.6,49397
Hell or High Water,2016,R,102 min,"Action, Crime, Drama",7.6,204175
Philomena,2013,PG-13,98 min,"Biography, Comedy, Drama",7.6,94212
Dawn of the Planet of the Apes,2014,UA,130 min,"Action, Adventure, Drama",7.6,411599
El cuerpo,2012,,112 min,"Mystery, Thriller",7.6,57549
Serbuan maut,2011,A,101 min,"Action, Thriller",7.6,190531
End of Watch,2012,A,109 min,"Action, Crime, Drama",7.6,228132
Kari-gurashi no Arietti,2010,U,94 min,"Animation, Adventure, Family",7.6,80939
A Star Is Born,2018,UA,136 min,"Drama, Music, Romance",7.6,334312
True Grit,2010,PG-13,110 min,"Drama, Western",7.6,311822
Hævnen,2010,R,118 min,"Drama, Romance",7.6,38491
Despicable Me,2010,U,95 min,"Animation, Comedy, Crime",7.6,500851
50/50,2011,R,100 min,"Comedy, Drama, Romance",7.6,315426
Kick-Ass,2010,UA,117 min,"Action, Comedy, Crime",7.6,524081
Celda 211,2009,,113 min,"Action, Adventure, Crime",7.6,63882
Moneyball,2011,PG-13,133 min,"Biography, Drama, Sport",7.6,369529
La piel que habito,2011,R,120 min,"Drama, Horror, Thriller",7.6,138959
Zombieland,2009,A,88 min,"Adventure, Comedy, Fantasy",7.6,520041
Die Welle,2008,,107 min,"Drama, Thriller",7.6,102742
Sherlock Holmes,2009,PG-13,128 min,"Action, Adventure, Mystery",7.6,583158
The Blind Side,2009,UA,129 min,"Biography, Drama, Sport",7.6,293266
The Visitor,2007,PG-13,104 min,Drama,7.6,41544
Seven Pounds,2008,UA,123 min,Drama,7.6,286770
Eastern Promises,2007,R,100 min,"Action, Crime, Drama",7.6,227760
Stardust,2007,U,127 min,"Adventure, Family, Fantasy",7.6,255036
The Secret of Kells,2009,,71 min,"Animation, Adventure, Family",7.6,31779
Inside Man,2006,R,129 min,"Crime, Drama, Mystery",7.6,339757
Gone Baby Gone,2007,R,114 min,"Crime, Drama, Mystery",7.6,250590
La Vie En Rose,2007,PG-13,140 min,"Biography, Drama, Music",7.6,82781
Huo Yuan Jia,2006,PG-13,104 min,"Action, Biography, Drama",7.6,72863
The Illusionist,2006,U,110 min,"Drama, Fantasy, Mystery",7.6,354728
Dead Man's Shoes,2004,,90 min,"Crime, Drama, Thriller",7.6,49728
Harry Potter and the Half-Blood Prince,2009,UA,153 min,"Action, Adventure, Family",7.6,474827
300,2006,A,117 min,"Action, Drama",7.6,732876
Match Point,2005,R,124 min,"Drama, Romance, Thriller",7.6,206294
Watchmen,2009,A,162 min,"Action, Drama, Mystery",7.6,500799
Lord of War,2005,R,122 min,"Action, Crime, Drama",7.6,294140
Saw,2004,UA,103 min,"Horror, Mystery, Thriller",7.6,379020
"Synecdoche, New York",2008,R,124 min,Drama,7.6,83158
Mysterious Skin,2004,R,105 min,Drama,7.6,65939
Jeux d'enfants,2003,R,93 min,"Comedy, Drama, Romance",7.6,67360
Un long dimanche de fiançailles,2004,U,133 min,"Drama, Mystery, Romance",7.6,70925
The Station Agent,2003,R,89 min,"Comedy, Drama",7.6,67370
21 Grams,2003,UA,124 min,"Crime, Drama, Thriller",7.6,224545
Boksuneun naui geot,2002,R,129 min,"Crime, Drama, Thriller",7.6,62659
Finding Neverland,2004,U,106 min,"Biography, Drama, Family",7.6,198677
25th Hour,2002,R,135 min,Drama,7.6,169708
The Butterfly Effect,2004,U,113 min,"Drama, Sci-Fi, Thriller",7.6,451479
28 Days Later...,2002,A,113 min,"Drama, Horror, Sci-Fi",7.6,376853
Batoru rowaiaru,2000,,114 min,"Action, Adventure, Drama",7.6,169091
The Royal Tenenbaums,2001,A,110 min,"Comedy, Drama",7.6,266842
Y tu mamá también,2001,A,106 min,Drama,7.6,115827
Harry Potter and the Sorcerer's Stone,2001,U,152 min,"Adventure, Family, Fantasy",7.6,658185
The Others,2001,PG-13,101 min,"Horror, Mystery, Thriller",7.6,337651
Blow,2001,R,124 min,"Biography, Crime, Drama",7.6,240714
Enemy at the Gates,2001,A,131 min,"Drama, History, War",7.6,243729
Minority Report,2002,A,145 min,"Action, Crime, Mystery",7.6,508417
The Hurricane,1999,R,146 min,"Biography, Drama, Sport",7.6,91557
American Psycho,2000,A,101 min,"Comedy, Crime, Drama",7.6,490062
Lola rennt,1998,UA,81 min,"Crime, Drama, Thriller",7.6,188317
The Thin Red Line,1998,A,170 min,"Drama, War",7.6,172710
Mulan,1998,U,88 min,"Animation, Adventure, Family",7.6,256906
Fear and Loathing in Las Vegas,1998,R,118 min,"Adventure, Comedy, Drama",7.6,259753
Funny Games,1997,A,108 min,"Crime, Drama, Thriller",7.6,65058
Dark City,1998,A,100 min,"Mystery, Sci-Fi, Thriller",7.6,187927
Sleepers,1996,UA,147 min,"Crime, Drama, Thriller",7.6,186734
Lost Highway,1997,A,134 min,"Mystery, Thriller",7.6,131101
Sense and Sensibility,1995,U,136 min,"Drama, Romance",7.6,102598
Die Hard: With a Vengeance,1995,A,128 min,"Action, Adventure, Thriller",7.6,364420
Dead Man,1995,R,121 min,"Adventure, Drama, Fantasy",7.6,90442
The Bridges of Madison County,1995,A,135 min,"Drama, Romance",7.6,73172
Apollo 13,PG,U,140 min,"Adventure, Drama, History",7.6,269197
Trois couleurs: Blanc,1994,U,92 min,"Comedy, Drama, Romance",7.6,64390
Falling Down,1993,R,113 min,"Action, Crime, Drama",7.6,171640
Dazed and Confused,1993,U,102 min,Comedy,7.6,165465
My Cousin Vinny,1992,UA,120 min,"Comedy, Crime",7.6,107325
Omohide poro poro,1991,U,118 min,"Animation, Drama, Romance",7.6,27071
Delicatessen,1991,R,99 min,"Comedy, Crime",7.6,80487
Home Alone,1990,U,103 min,"Comedy, Family",7.6,488817
The Godfather: Part III,1990,A,162 min,"Crime, Drama",7.6,359809
When Harry Met Sally...,1989,UA,95 min,"Comedy, Drama, Romance",7.6,195663
The Little Mermaid,1989,U,83 min,"Animation, Family, Fantasy",7.6,237696
The Naked Gun: From the Files of Police Squad!,1988,U,85 min,"Comedy, Crime",7.6,152871
"Planes, Trains & Automobiles",1987,U,93 min,"Comedy, Drama",7.6,124773
Lethal Weapon,1987,A,109 min,"Action, Crime, Thriller",7.6,236894
Blood Simple,1984,A,99 min,"Crime, Drama, Thriller",7.6,87745
On Golden Pond,1981,UA,109 min,Drama,7.6,27650
Mad Max 2,1981,A,96 min,"Action, Adventure, Sci-Fi",7.6,166588
The Warriors,1979,UA,92 min,"Action, Crime, Thriller",7.6,93878
The Muppet Movie,1979,U,95 min,"Adventure, Comedy, Family",7.6,32802
Escape from Alcatraz,1979,A,112 min,"Action, Biography, Crime",7.6,121731
Watership Down,1978,U,91 min,"Animation, Adventure, Drama",7.6,33656
Midnight Express,1978,A,121 min,"Biography, Crime, Drama",7.6,73662
Close Encounters of the Third Kind,1977,U,138 min,"Drama, Sci-Fi",7.6,184966
The Long Goodbye,1973,A,112 min,"Comedy, Crime, Drama",7.6,26337
Giù la testa,1971,PG,157 min,"Drama, War, Western",7.6,30144
Kelly's Heroes,1970,GP,144 min,"Adventure, Comedy, War",7.6,45338
The Jungle Book,1967,U,78 min,"Animation, Adventure, Family",7.6,166409
Blowup,1966,A,111 min,"Drama, Mystery, Thriller",7.6,56513
A Hard Day's Night,1964,U,87 min,"Comedy, Music, Musical",7.6,40351
Breakfast at Tiffany's,1961,A,115 min,"Comedy, Drama, Romance",7.6,166544
Giant,1956,G,201 min,"Drama, Western",7.6,34075
From Here to Eternity,1953,Passed,118 min,"Drama, Romance, War",7.6,43374
Lifeboat,1944,,97 min,"Drama, War",7.6,26471
The 39 Steps,1935,,86 min,"Crime, Mystery, Thriller",7.6,51853
